method,training_year,holding_year,rank,code,group
rolling_sequential_backward,2021,2022,1,159851.SZ,a_share
rolling_sequential_backward,2021,2022,2,159920.SZ,hong_kong
rolling_sequential_backward,2021,2022,3,159980.SZ,commodity
rolling_sequential_backward,2021,2022,4,159981.SZ,commodity
rolling_sequential_backward,2021,2022,5,159985.SZ,commodity
rolling_sequential_backward,2021,2022,6,160644.SZ,global
rolling_sequential_backward,2021,2022,7,501018.SH,commodity
rolling_sequential_backward,2021,2022,8,510880.SH,a_share
rolling_sequential_backward,2021,2022,9,512100.SH,a_share
rolling_sequential_backward,2021,2022,10,513100.SH,global
rolling_sequential_backward,2021,2022,11,513180.SH,hong_kong
rolling_sequential_backward,2021,2022,12,513500.SH,global
rolling_sequential_backward,2021,2022,13,513880.SH,global
rolling_sequential_backward,2022,2023,1,159852.SZ,a_share
rolling_sequential_backward,2022,2023,2,159920.SZ,hong_kong
rolling_sequential_backward,2022,2023,3,159967.SZ,a_share
rolling_sequential_backward,2022,2023,4,159980.SZ,commodity
rolling_sequential_backward,2022,2023,5,159985.SZ,commodity
rolling_sequential_backward,2022,2023,6,160644.SZ,global
rolling_sequential_backward,2022,2023,7,164824.SZ,global
rolling_sequential_backward,2022,2023,8,501018.SH,commodity
rolling_sequential_backward,2022,2023,9,513070.SH,hong_kong
rolling_sequential_backward,2022,2023,10,513080.SH,global
rolling_sequential_backward,2022,2023,11,513500.SH,global
rolling_sequential_backward,2022,2023,12,518880.SH,commodity
rolling_sequential_backward,2022,2023,13,562500.SH,a_share
rolling_sequential_backward,2023,2024,1,159852.SZ,a_share
rolling_sequential_backward,2023,2024,2,159981.SZ,commodity
rolling_sequential_backward,2023,2024,3,159985.SZ,commodity
rolling_sequential_backward,2023,2024,4,164824.SZ,global
rolling_sequential_backward,2023,2024,5,501018.SH,commodity
rolling_sequential_backward,2023,2024,6,510210.SH,a_share
rolling_sequential_backward,2023,2024,7,512890.SH,a_share
rolling_sequential_backward,2023,2024,8,513070.SH,hong_kong
rolling_sequential_backward,2023,2024,9,513080.SH,global
rolling_sequential_backward,2023,2024,10,513100.SH,global
rolling_sequential_backward,2023,2024,11,513120.SH,hong_kong
rolling_sequential_backward,2023,2024,12,513880.SH,global
rolling_sequential_backward,2023,2024,13,518880.SH,commodity
rolling_sequential_backward,2024,2025,1,159509.SZ,global
rolling_sequential_backward,2024,2025,2,159529.SZ,global
rolling_sequential_backward,2024,2025,3,159852.SZ,a_share
rolling_sequential_backward,2024,2025,4,159980.SZ,commodity
rolling_sequential_backward,2024,2025,5,161226.SZ,commodity
rolling_sequential_backward,2024,2025,6,501018.SH,commodity
rolling_sequential_backward,2024,2025,7,512800.SH,a_share
rolling_sequential_backward,2024,2025,8,512880.SH,a_share
rolling_sequential_backward,2024,2025,9,513100.SH,global
rolling_sequential_backward,2024,2025,10,513120.SH,hong_kong
rolling_sequential_backward,2024,2025,11,513180.SH,hong_kong
rolling_sequential_backward,2024,2025,12,513500.SH,global
rolling_sequential_backward,2024,2025,13,518880.SH,commodity
rolling_sequential_backward,2025,2026,1,159901.SZ,a_share
rolling_sequential_backward,2025,2026,2,159980.SZ,commodity
rolling_sequential_backward,2025,2026,3,159981.SZ,commodity
rolling_sequential_backward,2025,2026,4,161226.SZ,commodity
rolling_sequential_backward,2025,2026,5,164824.SZ,global
rolling_sequential_backward,2025,2026,6,510180.SH,a_share
rolling_sequential_backward,2025,2026,7,513120.SH,hong_kong
rolling_sequential_backward,2025,2026,8,513290.SH,global
rolling_sequential_backward,2025,2026,9,513310.SH,global
rolling_sequential_backward,2025,2026,10,513750.SH,hong_kong
rolling_sequential_backward,2025,2026,11,513880.SH,global
rolling_sequential_backward,2025,2026,12,515880.SH,a_share
rolling_sequential_backward,2025,2026,13,518880.SH,commodity
